,text,labels
89,Obama urges Russia to pull back troops from Ukraine border: CBS,"[1, 0, 0]"
90,"UPDATE 3-Valeant shares fall on lowered 2014, 2015 forecasts","[1, 0, 0]"
91,No Doubt! Gwen Stefani officially joins 'The Voice',"[0, 1, 0]"
92,Apple Profit Climbs 7% On Strong IPhone Sales,"[0, 0, 1]"
93,May march might modify Monsanto mantra madness,"[1, 0, 0]"
94,Three Big Names Were Missing From The 'Star Wars Episode VII' Announcement,"[0, 1, 0]"
95,Josh Hutcherson pays tribute to tragic Philip Seymour Hoffman as Hunger  ...,"[0, 1, 0]"
96,How Dark Pools Became The Riskiest Place On Wall Street,"[1, 0, 0]"
97,US efforts to protect the honey bee,"[0, 0, 1]"
98,Apple sends email offering to refund in-app purchases,"[0, 0, 1]"
99,French bank BNP Paribas will face £5bn US fine after accusations it breached  ...,"[1, 0, 0]"
100,Galaxy S5 vs HTC One M8 battle intensifies with Samsung's metal body upgrade,"[0, 0, 1]"
101,€1bn wiped from value of Candy Crush company,"[1, 0, 0]"
102,Lucy Bruce: Don't slow Internet with red tape,"[0, 0, 1]"
103,Greenland Is Losing More Ice,"[0, 0, 1]"
104,Massive ocean beneath earth is source of water in oceans,"[0, 0, 1]"
105,Virtual reality headsets Project Morpheus and Oculus Rift are the future of  ...,"[0, 0, 1]"
106,"Mozilla kills 'Metro' Windows 8 Firefox plans, claims interest has been 'pretty flat'","[0, 0, 1]"
107,What happens when 20 complete strangers lock lips for the first time,"[0, 1, 0]"
108,Cannes 2014 Lineup Revealed; Only Two Women Directors in the Main  ...,"[0, 1, 0]"
109,DHS advises computer users to temporarily consider an alternate to Microsoft's  ...,"[0, 0, 1]"
110,"WATCH: Nirvana Plays with Lorde, Kim Gordon, St. Vincent and Joan Jett at  ...","[0, 1, 0]"
111,Opening Bell 8 May | Janet Yellen comments and easing of Ukraine crisis buoy  ...,"[1, 0, 0]"
112,American Apparel reaches preliminary $25M financing deal,"[1, 0, 0]"
113,US jobless claims show surprise increase in week,"[1, 0, 0]"
114,Protect your Internet identity with passion,"[0, 0, 1]"
115,"If 2 Percent Is the New 4 Percent, Where Would the Economy Go From There  ...","[1, 0, 0]"
116,US stocks little changed on mixed data,"[1, 0, 0]"
117,Netflix CEO Calls for Stronger Rules on Handling Web Traffic (1),"[0, 0, 1]"
118,HGTV cancels reality show after star David Benham's controversial views revealed,"[0, 1, 0]"
119,NC legislative committees OK gas fracking bill,"[1, 0, 0]"
120,VIDEO: Tesla Motors Frees Electric Car Patents For Competitors,"[0, 0, 1]"
121,"NAB: 'Appropriate' JSAs Will Stand, Says Wheeler","[0, 0, 1]"
122,Make them forget: How 'irrelevant' news disappears from Google searches,"[0, 0, 1]"
123,Why you should care about open internet: Net neutrality and internet fast lanes  ...,"[0, 0, 1]"
124,GAO: 'Too big to fail' advantage is...,"[1, 0, 0]"
125,"Gold steady, but under pressure from strong US data","[1, 0, 0]"
126,Apple to Introduce Smart Home Strategy at WWDC 2014,"[0, 0, 1]"
127,Heartbleed scare hits Obamacare: Healthcare.gov users urged to change  ...,"[0, 0, 1]"
128,"Automakers look to Beijing show to boost sales in slowing, crowded market","[1, 0, 0]"
129,Kim Kardashian Lets Her Boobs Hang Out in Front of 100000 People at Bonnaroo,"[0, 1, 0]"
130,"Just One of the Guys: Anne Hathaway, Kristen Stewart in drag for music video","[0, 1, 0]"
131,"Sherri Shepherd Fired From The View, Whoopi Goldberg Remains","[0, 1, 0]"
132,Style Tribe: Miley Brings Out Brooklyn's Bangerz,"[0, 1, 0]"
133,U.S. Jobless Claims Fall to 311K,"[1, 0, 0]"
134,This Is the Will Ferrell vs. Chad Smith Drumoff You've Been Looking For,"[0, 1, 0]"
135,"T-Mobile Abolishes Consumer Overages, Challenges Other Wireless Providers  ...","[0, 0, 1]"
136,"Brent dips to 3-week low below $111, Libya says oil crisis over","[1, 0, 0]"
137,National Climate Assessment demands action - ACS,"[0, 0, 1]"
138,SF loses out on George Lucas art museum,"[0, 1, 0]"
139,Soon you'll be able to get a real drink at Starbucks,"[0, 1, 0]"
140,Iceland Volcano Eruption May Be Imminent,"[0, 0, 1]"
141,Recall roundup: Fiat 500L,"[1, 0, 0]"
142,The Leftovers Episode 1 Spoilers/Preview: Sudden Departure of Loved Ones  ...,"[0, 1, 0]"
143,S&P 500 closes above 1900 for first time,"[1, 0, 0]"
144,"New look, new role for Ronald McDonald","[1, 0, 0]"
145,No Glastonbury In 2017 - Michael Eavis,"[0, 1, 0]"
146,U.S. lawmkers want Gilead to explain Sovaldi's hefty price,"[1, 0, 0]"
147,Albuquerque chief vows reforms after violent protest,"[0, 0, 1]"
148,Game of Thrones season 4: The most memorable moments,"[0, 1, 0]"
149,Crop futures are starting the week on a firm note,"[1, 0, 0]"
150,"Delta navigates nasty winter, tops profit forecast","[1, 0, 0]"
151,Gardening | Add some buzz to your yard: Bring back the pollinators,"[0, 0, 1]"
152,'Hunger Games' studio aims to hit bullseye with 'Divergent',"[0, 1, 0]"
153,Crude oil exports remain illegal,"[1, 0, 0]"
154,'Jurassic World' Pays Tribute To Richard Attenborough,"[0, 1, 0]"
155,Apple Recruits Sales Director from Swiss Watch Maker,"[0, 0, 1]"
156,Toyota's departure for Texas a major blow to regional economy,"[1, 0, 0]"
157,China's July PMI hits 27-month high on strong factory orders,"[1, 0, 0]"
158,"Apple refreshes entry-level iPod touch, cuts prices on 32GB and 64GB models","[0, 0, 1]"
159,Become a Google Pokemon Master?,"[0, 0, 1]"
160,"Tom Cruise Saves the World Again in “Edge of Tomorrow,” But It's OK","[0, 1, 0]"
161,Here's A Video Of Obama Playing Soccer With A Humanoid Japanese Robot,"[0, 0, 1]"
162,To Live and Die on Elon Musk's Ambition,"[0, 0, 1]"
163,T-Rex gets new life at museum,"[0, 0, 1]"
164,NASA Just Released A New Picture Of Earth From The Moon,"[0, 0, 1]"
165,Obama arrives in Japan on four-nation Asian trip,"[0, 1, 0]"
166,Cocaine Shipment En Route to Vatican Seized by German Officials,"[1, 0, 0]"
167,Turkey retains 3 suspects in custody out of 25 detained over deadly mining  ...,"[1, 0, 0]"
168,MISSING MH370: Final words from jet came after systems shutdown,"[1, 0, 0]"
169,"NTSB faults Asiana pilots for 777 crash, says complex automated controls a factor","[1, 0, 0]"
170,"Family Dollar to close about 370 stores, cut jobs","[1, 0, 0]"
171,Sony sells more than 7m PS4s,"[0, 0, 1]"
172,Google's Project Zero to Scan Web for Security Flaws,"[0, 0, 1]"
173,Watch Dogs review journal #1: Welcome to Chicago,"[0, 0, 1]"
174,Samsung Galaxy S5 hits Indian stores; price starts Rs 51000,"[0, 0, 1]"
175,"Heartbleed is about to get worse, and it will slow the Internet to a crawl","[0, 0, 1]"
176,Flickr Boosts Speed and Adds HD Video to iOS and Android Apps,"[0, 0, 1]"
177,"Hillshire deal for Pinnacle to bring together Sara Lee, Duncan Hines","[1, 0, 0]"
178,"Nintendo Reports Financial Loss, Wii U Gain","[0, 0, 1]"
179,Paul Walker scenes in Fast and Furious 7 will include CGI 'and four body doubles',"[0, 1, 0]"
180,Murray recalls Michael Jackson's final hours,"[0, 1, 0]"
181,Phenomena:,"[0, 0, 1]"
182,Happy! Pharrell Williams Joins The Voice US As Coach For New Season,"[0, 1, 0]"
183,5 Disney Villains Who Deserve Their Own Movies,"[0, 1, 0]"
184,Batman: Arkham Knight Trailer Reveals Delayed 2015 Release Date (video),"[0, 1, 0]"
185,Katie Holmes Poses Topless For Glamour Magazine,"[0, 1, 0]"
186,B. of A. to pay $9.5 bln to settle FHFA claims,"[1, 0, 0]"
187,"'SNL' perfectly explains that Solange, Jay-Z elevator fight","[0, 1, 0]"
188,Consumer Group Sues CarMax For Selling Recalled Vehicles That Weren't  ...,"[0, 0, 1]"
189,PHOTOS: See Kim Kardashian's wedding dress & official pics!,"[0, 1, 0]"
190,"Microsoft OneDrive boosts free storage to 15 GB, drops prices by 70%, gives  ...","[0, 0, 1]"
191,"Microsoft CEO Satya Nadella still 'defining and tuning' strategy, chairman John  ...","[0, 0, 1]"
192,Yuan Strengthens To 2-month High Against US Dollar,"[1, 0, 0]"
193,'The Bachelor': Angry Juan Pablo feels like he was 'thrown to the wolves',"[0, 1, 0]"
194,Spider-Man 2 debuts number one at US box office: Top ten in full,"[0, 1, 0]"
195,US farmers confront,"[1, 0, 0]"
196,Pot Vending Machine Introduced in Colorado,"[1, 0, 0]"
197,Harrison Ford airlifted to hospital after injury while filming new 'Star Wars' movie,"[0, 1, 0]"
198,Housing Starts And Permits Fall More Than Expected In May,"[1, 0, 0]"
199,Lunar Eclipse Facts: 5 Neat Things About Tonight's 'Blood Moon',"[0, 0, 1]"
200,"Oracle (ORCL) Announces Quarterly Earnings, Misses Expectations By $0.02 EPS","[1, 0, 0]"
201,Paul Walker's brothers to fill in for late actor in 'Fast 7',"[0, 1, 0]"
202,Yahoo Dresses Up Digital Ads in Major Native Advertising Push,"[1, 0, 0]"
203,"Kanye West Slams Annie Leibovitz, Admits Spending 4 Days Perfecting  ...","[0, 1, 0]"
204,Brilliant Mars to grace eastern sky as it passes Earth,"[0, 0, 1]"
205,Stacy Keibler Marries Boyfriend Just 8 Months After Split from George Clooney,"[0, 1, 0]"
206,Miley Cyrus accidentally performs in her underwear,"[0, 1, 0]"
207,ABC Renews 'Agents of S.H.I.E.L.D.' & Greenlights 'Agent Carter',"[0, 1, 0]"
208,Apple Could Completely Embarrass Itself at This Year's WWDC,"[0, 0, 1]"
209,'Dancing with the Stars' preview: Who will rise and fall in controversial partner  ...,"[0, 1, 0]"
210,Obama carbon rule gives states more time to comply,"[1, 0, 0]"
211,Google Fit to collect your fitness data,"[0, 0, 1]"
212,Miley Cyrus' NBC 'Bangerz' Special Premiered to Low Ratings,"[0, 1, 0]"
213,NanoTech's UltraFlix 4K IPTV/OTT Streaming Service Achieves New Status with  ...,"[0, 0, 1]"
214,Angelina Jolie Unfurls Her 'Maleficent' Wings in a New Teaser,"[0, 1, 0]"
215,Samsung earnings fall as it battles Apple on the high end and Xiaomi on the low  ...,"[0, 0, 1]"
216,US GDP's Deep 1Q Fall Surely Means Recession is Coming -- But Every Other  ...,"[1, 0, 0]"
217,'Orange Is The New Black' Season 2 — Watch The New Trailer,"[0, 1, 0]"
218,Search Operation for Malaysian Airlines Aircraft MH 370 Suspended,"[1, 0, 0]"
219,Most expensive divorce ever?,"[1, 0, 0]"
220,An 18$bn valuation for Uber taxi app looks absurd,"[1, 0, 0]"
221,"Hot Watch List: Twitter Inc (NYSE:TWTR), Amazon.com (NASDAQ:AMZN  ...","[1, 0, 0]"
222,"Microsoft to Layoff 18000 Staff, Change Nokia X Devices to Windows Phone","[0, 0, 1]"
223,Tanker taken from militia by US Navy back in Libya,"[1, 0, 0]"
224,7 Things That Convinced The U.S. Patent Office To Cancel The Redskins  ...,"[1, 0, 0]"
225,US gasoline prices continue declines,"[0, 0, 1]"
226,RBI will likely remain on an extended pause on interest rate,"[1, 0, 0]"
227,"Samsung, Dell and Intel form Internet of Things development group","[0, 0, 1]"
228,Economists say Federal Reserve is on 'the right track': Survey,"[1, 0, 0]"
229,"Report says more rain, coastal flooding likely as climate changes","[0, 0, 1]"
230,Domino's Pizza hit with mocking ransom demand after hackers steal 650000  ...,"[0, 0, 1]"
231,"New 'X-Men Days of Future Past' trailer reveals action, scale and massive cast","[0, 1, 0]"
232,US Has Stopped Major Extortion and Hacking Ring,"[0, 0, 1]"
233,"TSX To Open Higher On Tim Hortons-BK Merger, ECB Chatter - Canadian  ...","[1, 0, 0]"
234,Amazon refuses to bury hatchet,"[1, 0, 0]"
235,It's good to be King: Candy Crush Saga maker valued at $8.5b,"[1, 0, 0]"
236,Nicki Minaj's Wardrobe Malfunction Steals The Fashion Show During Her VMAs  ...,"[0, 1, 0]"
237,Cellphone Unlocking To Become Legal Again,"[0, 0, 1]"
238,Vermonters for a Just Peace in Palestine/Israel organizes a National Day of  ...,"[0, 1, 0]"
239,Review: Samsung Galaxy S5,"[0, 0, 1]"
240,Box Files for IPO,"[1, 0, 0]"
241,Trends in the fuel cell and hydrogen industries,"[0, 0, 1]"
242,"Japan's job market improves, inflation in line","[1, 0, 0]"
243,Video: More gorgeous Mario Kart 8 retro tracks compared to originals,"[0, 0, 1]"
244,Pink Floyd announces first new album in 20 years,"[0, 1, 0]"
245,Every year music festivals feature bigger and better lineups,"[0, 1, 0]"
246,"Feds want airlines to openly disclose seat, bag fees","[1, 0, 0]"
247,Stephen Colbert on replacing Letterman: 'I am going to miss this man',"[0, 1, 0]"
248,Cannes Film Festival reviews: the five biggest flops of 2014,"[0, 1, 0]"
249,Timaru's air is New Zealand's worst,"[0, 0, 1]"
250,Markets Performance Dependent On Upcoming Manufacturing ISM Report,"[1, 0, 0]"
251,"NSA ""hijacked"" criminal botnets to install spyware","[0, 0, 1]"
252,Robin Thicke fails to follow up 'Blurred Lines' success,"[0, 1, 0]"
253,Bradley Cooper as Indiana Jones? Disney reportedly eying actor for reboot,"[0, 1, 0]"
254,S-class reigns supreme,"[0, 0, 1]"
255,Japan won't quit IWC over court defeat,"[0, 0, 1]"
256,Microsoft says no fix for XP users as it rushes to fix Internet Explorer bug,"[0, 0, 1]"
257,Report: 'Full House' TV Revival in the Works,"[0, 1, 0]"
258,"Obamacare costs less than expected, but there's a catch","[1, 0, 0]"
259,"Actress, activist Dee dies at 91 (w/video)","[0, 1, 0]"
260,Leonardo DiCaprio To Play Steve Jobs In New Biopic As Danny Boyle Signs Up  ...,"[0, 1, 0]"
261,Twitter Now Lets You Search For Anyone's First Tweet,"[0, 0, 1]"
262,California Back in The Running for Tesla Plant,"[1, 0, 0]"
263,Costner heads to 'Field of Dreams' for special anniversary,"[0, 1, 0]"
264,You Can Now Watch Live Major League Baseball Games On Chromecast,"[0, 0, 1]"
265,Maureen Dowd goes to pot,"[0, 1, 0]"
266,American Airlines Tweet Sees 14-Year-Old Girl Arrested In Rotterdam  ...,"[0, 1, 0]"
267,"Tech: Windows 8.1, Twitter, Chrome","[0, 0, 1]"
268,Brent holds near $111,"[1, 0, 0]"
269,NYC Grocery Bag Fees: Will You Pay 10 Cents Per Bag?,"[1, 0, 0]"
270,Game of Thrones Review: It's For the Best,"[0, 1, 0]"
271,Top 7 Android Smartphones You Should Consider Before Getting iPhone 5S or  ...,"[0, 0, 1]"
272,Entertainer Rolf Harris tells court of 'sexual chemistry' with alleged victim,"[0, 1, 0]"
273,Longitude Prize launched with £10m awaiting winner,"[0, 0, 1]"
274,Mya shuts down Jay Z cheating rumors,"[0, 1, 0]"
275,"North Korea Says New Seth Rogen-James Franco Movie Is A ""Blatant Act Of War”","[0, 1, 0]"
276,Oink vanity plate has sides squealing in Indiana,"[0, 0, 1]"
277,Regulators failed to spot deadly GM defects that others saw,"[0, 0, 1]"
278,Qualcomm Revenue Stalls,"[1, 0, 0]"
279,Mailbox 2.0 is out for iOS with 'Auto-swipe' predictive archiving,"[0, 0, 1]"
280,Heartbleed raises the stakes on Internet security,"[0, 0, 1]"
281,YouTube Spending a Billion Dollars on Twitch May Prove to Be a Bargain,"[0, 0, 1]"
282,You Can't Use Facebook's New iPhone App — Unless You're Famous,"[0, 0, 1]"
283,Social Security cards — do you need one?,"[1, 0, 0]"
284,"Kevin Reilly: FOX ""eventizing"" 2014-15 programming slate","[0, 1, 0]"
285,X-Men: Days of Future Past trailer NEW VIDEO,"[0, 1, 0]"
286,"'Mad Men' season 7, episode 7 reaction: Matthew Weiner on that Cooper  ...","[0, 1, 0]"
287,Facebook testing 'Buy' button,"[0, 0, 1]"
288,Potential use of Google Glass in surgical settings,"[0, 0, 1]"
289,"Forex - Japanese yen gains on trade data, steady BoJ policy stance","[1, 0, 0]"
290,"Series Finale of ""How I Met Your Mother"" Airs Monday Night on NewsChannel 7","[0, 1, 0]"
291,US Treasury warns China over recent yuan fall | Bangkok Post: news,"[1, 0, 0]"
292,"Johnson Controls (JCI), Yanfeng Automotive Enter Auto Interiors Merger, Joint  ...","[1, 0, 0]"
293,Understanding the ALS Ice Bucket Challenge,"[0, 1, 0]"
294,This Leaked Track Of Britney Spears Singing Alien Sans Auto-Tune Is RAW! But  ...,"[0, 1, 0]"
295,"US indexes drift higher; Tiffany gains - WNCN: News, Weather","[1, 0, 0]"
296,Things You Should Know About Tomorrow's Tax Deadline,"[1, 0, 0]"
297,HSBC Mortgage Rates Increase Today Mar 19,"[1, 0, 0]"
298,"Xbox One, 360 Devs Ask For Early Access Program","[0, 0, 1]"
299,Samsung Electronics' first quarter guidance slightly below forecasts,"[1, 0, 0]"
300,Ali Fazal to join 'Fast & Furious 7' in Abu Dhabi,"[0, 1, 0]"
301,Rising Bad Loans May Hurt India's Recovery: OECD,"[1, 0, 0]"
302,Samsung Galaxy S5 vs Samsung Galaxy S4: It's Not Just About The Specs,"[0, 0, 1]"
303,It's Downton Abbey Vs Breaking Bad For Star Wars Episode VII: Actors From Hit  ...,"[0, 1, 0]"
304,Bank of Japan holds off fresh stimulus,"[1, 0, 0]"
305,Life Won't Be Complete Until We Get These Emojis,"[0, 0, 1]"
306,/Judy Eddy/WENN.com,"[0, 0, 1]"
307,New Amazon smartphone reflects multi-camera trend,"[0, 0, 1]"
308,What's the next step for S&P 500?,"[1, 0, 0]"
309,Darden to sell Red Lobster seafood chain for $2.1 billion,"[1, 0, 0]"
310,Microsoft's Skype Will Soon Be Able to Translate Voice Calls in Real Time,"[0, 0, 1]"
311,Black Cab Protest To Cause Gridlock In Central London,"[1, 0, 0]"
312,SanDisk to buy Fusion-io for $1.1 bln,"[1, 0, 0]"
313,Insurers: sizeable majority has paid obamacare premiums,"[1, 0, 0]"
314,Chinese hackers to face the wrath of DOJ cyber crackdown,"[1, 0, 0]"
315,Teen encourages the use of less ink to cut cost,"[0, 0, 1]"
316,Nest devices can now talk to the rest of your house,"[0, 0, 1]"
317,Phil Spencer takes helm at Xbox,"[0, 0, 1]"
318,Justin Bieber to plead guilty for reckless driving' in DUI case,"[0, 1, 0]"
319,HK flight attendants launch language strike,"[1, 0, 0]"
320,Tate Modern's latest blockbuster: how Henri Matisse turned paper cut-outs into  ...,"[0, 1, 0]"
321,eScan launches unique online tool to identify Heartbleed bug affected websites,"[0, 0, 1]"
322,'Penny Dreadful' on Showtime shows promise,"[0, 1, 0]"
323,Kim Kardashian Wedding Prep: Bride Gets $550 Stem Cell Facial,"[0, 1, 0]"
324,iPhone 5 vs Galaxy S4 early adopter: Devil's in the details,"[0, 0, 1]"
325,Augusta gained 700 jobs in March,"[1, 0, 0]"
326,Google+ boss Vic Gundotra leaves company,"[0, 0, 1]"
327,McDonald's CEO replies to critics,"[1, 0, 0]"
328,SF cracks down on 'Monkey Parking' mobile app,"[1, 0, 0]"
329,Newspaper tycoon: Google is building a superstate that threatens the future of  ...,"[0, 0, 1]"
330,"Higher Mortgage Interest Rates at Capital One Financial on July 4, 2014","[1, 0, 0]"
331,Model Offers 'Proof' Hank Baskett Cheated on Pregnant Kendra Wilkinson,"[0, 1, 0]"
332,Chris Harrison Says Chubby & Gay Men Need Not Apply to 'Bachelor',"[0, 1, 0]"
333,"Apple, Google Agree to Bury Patent Hatchet","[0, 0, 1]"
334,SanDisk to enter on the storage market,"[1, 0, 0]"
335,"Mad Men's Teyonah Parris on Dawn's Surprise Promotion, Don vs. Lou, and  ...","[0, 1, 0]"
336,Google expands same-day shopping service to LA & NYC,"[1, 0, 0]"
337,New Harry Potter Story Posted From J.K. Rowling,"[0, 1, 0]"
338,Peter Mayhew to return in Star Wars VII,"[0, 1, 0]"
339,Week ahead: Living in interesting times,"[1, 0, 0]"
340,Apple to Purchase Talk App Swell,"[0, 0, 1]"
341,"Wall St dips at open, consumer data on tap","[1, 0, 0]"
342,"WATCH: The Samsung Galaxy S5 Active exists, and has been filmed for the first  ...","[0, 0, 1]"
343,Hewitt joins 'Criminal Minds',"[0, 1, 0]"
344,"Popeyes Buys Its Recipes for $43 Million. Wait, Popeyes Didn't Own Its Recipes?","[1, 0, 0]"
345,RPT--WHO finds Indian cities have dirtiest air; Chinese data foggy,"[0, 0, 1]"
346,Durable Goods Orders Up 2.6 Pct. In March,"[1, 0, 0]"
347,'Watch Dogs' launch trailer out,"[0, 0, 1]"
348,Former 'GMA' host Joan Lunden has breast cancer (VIDEO),"[0, 1, 0]"
349,Kim Kardashian and Kanye West are Technically Married,"[0, 1, 0]"
350,A Courtroom of Assholes: Juan Pablo vs. The Bachelor,"[0, 1, 0]"
351,Old School Atari Games Unearthed,"[0, 0, 1]"
352,The Week That Workers Won (At Least a Little),"[1, 0, 0]"
353,NFL Demands $16.6 Million Over MIA's Super Bowl Middle Finger,"[0, 1, 0]"
354,"'Transformers' -- way, WAY more of the same","[0, 1, 0]"
355,Matt Damon Takes the ALS Ice Bucket Challenge ... With a Twist (VIDEO),"[0, 1, 0]"
356,Job cuts in Canary Wharf announced by Barclayss,"[1, 0, 0]"
357,InDepth InterView Special Flashback: Elaine Stritch,"[0, 1, 0]"
